time,Open,High,Low,Close,Volume,Quote_Volume
2014-03-31,573.94,695.44,262.77,444.66,94268.24,54489970.52
2014-04-30,444.66,549.05,355.71,445.63,161163.61,76194490.35
2014-05-31,445.63,629.04,420.23,627.91,85749.08,42600402.99
2014-06-30,627.91,676.47,560.85,635.14,111814.85,69667224.75
2014-07-31,635.14,652.54,564.01,589.52,107222.08,66608443.47
2014-08-31,589.52,608.2,449.95,481.78,126172.42,67397025.66
2014-09-30,481.78,498.47,372.63,388.17,295615.85,129082067.0
2014-10-31,388.17,407.74,294.92,337.87,568998.29,206125125.9
2014-11-30,337.87,480.45,319.81,374.93,711114.72,268771756.0
2014-12-31,374.93,384.87,303.4,318.24,847294.11,288651561.3
2015-01-31,318.24,321.36,157.29,218.51,1556440.35,374164214.6
2015-02-28,218.51,264.57,209.71,254.06,2088908.79,494334191.4
2015-03-31,254.06,300.96,234.84,244.15,2968736.56,800618551.1
2015-04-30,244.15,261.45,214.14,235.77,2073996.71,485256364.2
2015-05-31,235.77,247.87,228.24,229.84,1637017.7,389060034.2
2015-06-30,229.84,268.73,220.97,264.12,1747656.34,419706126.3
2015-07-31,264.12,315.88,243.24,283.73,1859907.83,513259425.1
2015-08-31,283.73,285.66,196.26,229.47,2222783.93,540597674.9
2015-09-30,229.47,246.38,224.07,235.93,1650427.02,386279394.1
2015-10-31,235.93,334.92,234.7,311.24,2277000.67,623315593.3
2015-11-30,311.24,492.8,292.38,377.97,4294310.88,1566385427.0
2015-12-31,377.97,467.71,347.16,429.95,3203650.42,1356690513.0
2016-01-31,429.95,462.92,350.39,369.84,2485982.96,1011588267.0
2016-02-29,369.84,447.61,365.27,436.21,1992657.56,806727037.8
2016-03-31,436.21,439.02,386.93,415.66,1662176.27,690670394.0
2016-04-30,415.66,468.86,412.39,448.53,1390983.27,609641612.9
2016-05-31,448.53,548.04,435.42,528.92,1663151.39,788743243.9
2016-06-30,528.92,776.04,521.3,670.02,3547978.16,2320182059.0
2016-07-31,670.02,701.49,604.95,621.87,1625338.84,1072367041.0
2016-08-31,621.87,627.89,471.36,573.88,1078724.42,625775918.6
2016-09-30,573.88,704.97,569.3,608.14,748548.81,454567743.5
2016-10-31,608.14,720.19,606.5,698.67,905663.17,589739507.9
2016-11-30,698.67,755.34,670.4,742.49,1228457.84,893890221.8
2016-12-31,742.49,982.57,741.08,963.38,1272846.56,1074056852.0
2017-01-31,963.38,1150.63,739.55,965.49,2212149.21,2027801317.0
2017-02-28,965.49,1211.74,924.65,1189.27,1312414.2,1393614654.0
2017-03-31,1189.27,1330.42,890.43,1079.11,2682349.09,2967942087.0
2017-04-30,1079.11,1358.94,841.53,1351.91,1561847.54,1905894060.0
2017-05-31,1351.91,2781.76,1342.78,2303.34,3446341.2,6716681702.0
2017-06-30,2303.34,2985.06,2125.56,2480.61,3348773.71,8658848153.0
2017-07-31,2480.61,2932.81,1808.99,2883.27,3753178.1,9287236284.0
2017-08-31,2883.27,4765.07,2659.62,4735.11,3130904.91,12036541027.0
2017-09-30,4735.11,4976.52,2979.88,4360.62,3928999.98,15704735481.0
2017-10-31,4360.62,6467.2,4143.35,6451.24,2984960.28,16144796577.0
2017-11-30,6449.1,11417.84,5493.64,9946.76,3958263.39,30276851692.0
2017-12-31,9947.08,19870.62,9420.93,13850.4,5118575.38,76343716585.0
2020-08-31,11760.37,11888.72,11130.36,11657.81,437655.5,5073514073.0
2020-09-30,11657.81,12062.06,9855.68,10779.42,1047237.4,11144729333.0
2020-10-31,10779.42,14077.8,10388.07,13803.41,1049856.49,12690567173.0
2020-11-30,13803.41,19850.23,13221.65,19686.87,1363620.95,23164478306.0
2020-12-31,19686.87,29301.67,17598.13,28972.4,1669256.05,37481505036.0
2021-01-31,28972.4,41964.96,28493.29,33143.22,2724251.23,93833583590.0
2021-02-28,33143.22,58348.75,32340.24,45261.03,1939941.18,89816433571.0
2021-03-31,45261.03,61749.15,45058.98,58793.8,1536586.94,83745065663.0
2021-04-30,58793.8,64859.81,47073.07,57757.97,1348351.76,76006376120.0
2021-05-31,57757.97,59587.03,29925.2,37290.83,2354950.7,104000000000.0
2021-06-30,37290.83,41307.06,28908.07,35056.39,1712549.86,60325934376.0
2021-07-31,35056.39,42373.59,29320.09,41474.72,1039820.83,36126851645.0
2021-08-31,41474.72,50513.83,37330.04,47159.26,1006382.94,45232892186.0
2021-09-30,47159.26,52919.24,39767.17,43829.34,1002599.27,45724583839.0
2021-10-31,43829.34,66980.66,43304.82,61349.75,1061767.87,61467021062.0
2021-11-30,61349.75,68978.64,53436.05,56975.35,941375.43,56871486226.0
2021-12-31,56975.35,59096.53,43563.07,46197.31,1035135.41,51012870051.0
2022-01-31,46197.31,47979.26,32990.72,38494.66,1142963.64,45658828958.0
2022-02-28,38494.66,45837.02,34349.58,43189.46,948939.11,38215664071.0
2022-03-31,43189.46,48208.48,37191.99,45522.65,949188.84,39799582348.0
2022-04-30,45522.65,47432.6,37607.77,37650.13,706815.02,29380118700.0
2022-05-31,37650.13,40004.37,25835.61,31782.16,1438211.92,44998556759.0
2022-06-30,31782.16,31956.43,17600.75,19908.49,1443485.81,33531236249.0
2022-07-31,19908.49,24619.11,18768.2,23308.14,1306417.57,28167224908.0
2022-08-31,23308.14,25203.38,19527.69,20050.28,1310780.41,29262332212.0
2022-09-30,20050.28,22767.89,18189.92,19425.63,1697343.77,33472564454.0
2022-10-31,19425.63,21064.84,18229.27,20492.56,1669511.88,32977044494.0
2022-11-30,20492.56,21471.49,15480.69,17162.35,2098716.3,37271890826.0
2022-12-31,17162.35,18344.32,16350.32,16531.31,1425714.06,24239117876.0
2023-01-31,16531.31,23948.42,16502.85,23129.7,1895514.01,38972332833.0
2023-02-28,23129.7,25233.22,21407.31,23137.23,1351808.57,31663368427.0
2023-03-31,23137.23,29171.13,19599.47,28474.62,1714850.26,42766610153.0
2023-04-30,28474.62,31020.32,26998.44,29236.81,977557.44,28298693019.0
2023-05-31,29236.81,29853.13,25833.3,27220.17,782469.49,21603308461.0
2023-06-30,27220.17,31416.26,24765.75,30471.06,752527.29,20961700806.0
2023-07-31,30471.06,31844.94,28860.94,29231.47,485521.02,14668012338.0
2023-08-31,29231.47,30210.36,25328.06,25937.29,530310.43,14722399136.0
2023-09-30,25937.29,27493.85,24911.78,26964.27,500886.87,13200678154.0
2023-10-31,26964.27,35183.22,26531.55,34657.73,832175.75,25174919137.0
2023-11-30,34657.73,38456.97,34096.9,37729.58,781586.15,28554904112.0
2023-12-31,37729.58,44735.52,37626.12,42280.14,874418.74,37079645337.0
2024-01-31,42280.14,49054.05,38512.34,42555.08,1267637.59,54972056824.0
2024-02-29,42555.08,64086.08,41855.88,61179.58,986624.31,50967236756.0
2024-03-31,61179.58,73802.64,59268.68,71312.91,1357470.57,91350876714.0
2024-04-30,71312.91,72750.51,59097.29,60633.97,904368.57,59472050692.0
2024-05-31,60633.97,71964.79,56516.09,67482.25,666191.27,43090390789.0
2024-06-30,67482.25,71943.4,58443.98,62685.88,582804.82,38290542950.0
2024-07-31,62685.88,70027.05,53528.09,64617.83,850058.48,52938250782.0
2024-08-31,64617.83,65590.04,49202.81,58989.17,999892.31,59258664843.0
2024-09-30,58989.17,66547.69,52552.05,63314.81,969145.74,57936827821.0
2024-10-31,63314.81,73612.24,58869.24,70207.54,1073335.78,70272798285.0
2024-11-30,70207.54,99772.99,66793.64,96473.51,1728542.69,150000000000.0
2024-12-31,96473.51,108369.13,91310.52,93391.98,1445897.87,142000000000.0
2025-01-31,93391.98,109340.21,89153.4,102412.41,1332527.31,134000000000.0
2025-02-28,102412.41,102768.26,78203.72,84322.57,1006270.32,94618678541.0
2025-03-31,84322.57,95106.04,76581.52,82539.52,869232.54,74246119929.0
2025-04-30,82539.52,95924.19,74426.93,94186.14,762236.58,64833099164.0
2025-05-31,94186.14,111998.96,93382.91,104654.65,576139.74,59759740483.0
2025-06-30,104654.65,110543.89,98264.46,107169.82,481546.03,50679074759.0
2025-07-31,107169.82,123220.28,105143.1,115765.36,583841.87,67694524528.0
2025-08-31,115765.36,124532.7,107381.29,108273.72,581984.92,66868701762.0
2025-09-30,108273.72,117981.11,107271.39,114078.18,536003.88,60462061148.0
2025-10-31,114078.18,126287.29,103552.05,109580.94,880767.28,100000000000.0
2025-11-30,109580.94,111199.6,80562.05,90381.34,992220.36,94061106850.0
2025-12-31,90381.34,94617.1,83828.42,87519.13,772284.1,68827855537.0
2026-01-31,87519.13,97943.22,76029.54,78664.02,830221.41,74628534146.0
2026-02-01,78741.1,79424.0,60000.0,68176.29,639985.96163,44689488859.68253
